feature,mean_abs_shap
expression__expr::TPM2 (7169),0.3902405
expression__expr::COL12A1 (1303),0.2464543
expression__expr::TIMP3 (7078),0.22824256
copy_number__cn::DMRTA1 (63951),0.21951754
expression__expr::EEF1A2 (1917),0.20605733
expression__expr::COL3A1 (1281),0.19253054
expression__expr::GAL (51083),0.17517474
expression__expr::MCAM (4162),0.16224268
expression__expr::MIA (8190),0.14342596
expression__expr::ITGB3 (3690),0.13401502
copy_number__cn::OR4K5 (79317),0.12909685
copy_number__cn::NDUFB9 (4715),0.101664275
expression__expr::MGP (4256),0.09891653
copy_number__cn::ENSG00000268500,0.09782797
expression__expr::COL11A1 (1301),0.087622404
expression__expr::ERBB3 (2065),0.08567255
expression__expr::IL32 (9235),0.07321887
expression__expr::CST6 (1474),0.07193001
expression__expr::NNMT (4837),0.06977565
copy_number__cn::LCE3B (353143),0.0670785
expression__expr::CLDN1 (9076),0.0654064
expression__expr::C15orf48 (84419),0.06081054
expression__expr::COL4A2 (1284),0.055481747
expression__expr::ATR (545),0.05256924
expression__expr::TGFBI (7045),0.051492255
expression__expr::NT5E (4907),0.05124248
expression__expr::DSP (1832),0.05003695
copy_number__cn::KRAS (3845),0.04922389
expression__expr::CCN2 (1490),0.047937736
expression__expr::ALDH1A1 (216),0.04198461
copy_number__cn::CHEK1 (1111),0.040270183
expression__expr::RAB34 (83871),0.04024871
copy_number__cn::OR4K2 (390431),0.03956494
expression__expr::MEST (4232),0.03952074
expression__expr::KYNU (8942),0.037573814
copy_number__cn::DDIT3 (1649),0.03717721
expression__expr::G0S2 (50486),0.032706454
expression__expr::COL5A2 (1290),0.032106128
expression__expr::IGFBP2 (3485),0.0292347
expression__expr::SPARC (6678),0.02915537
expression__expr::CPA4 (51200),0.02898864
expression__expr::RPS4Y1 (6192),0.027052877
expression__expr::CRYAB (1410),0.026546147
copy_number__cn::CYP24A1 (1591),0.024635667
copy_number__cn::PFDN4 (5203),0.023994554
copy_number__cn::ENSG00000260861,0.023974137
expression__expr::COL4A1 (1282),0.023330575
copy_number__cn::LCE3C (353144),0.022754686
copy_number__cn::ZNF572 (137209),0.022245515
copy_number__cn::MTSS1 (9788),0.021252776
copy_number__cn::BTNL3 (10917),0.019576507
expression__expr::ABCC3 (8714),0.019011822
expression__expr::SULF2 (55959),0.018876418
expression__expr::SNRPN (6638),0.018810742
copy_number__cn::ETFRF1 (144363),0.017292654
expression__expr::ELF3 (1999),0.016108966
copy_number__cn::OR4C6 (219432),0.015363124
expression__expr::FXYD3 (5349),0.015291024
copy_number__cn::TRMT12 (55039),0.014328711
copy_number__cn::RNF139 (11236),0.013048987
copy_number__cn::OR4K1 (79544),0.013001631
expression__expr::COL17A1 (1308),0.0129351495
copy_number__cn::BCAS1 (8537),0.012004026
expression__expr::MAGEA4 (4103),0.011931742
expression__expr::COL1A1 (1277),0.011277348
expression__expr::SERPINA3 (12),0.011066763
expression__expr::BCAT1 (586),0.010746141
copy_number__cn::OR4S2 (219431),0.010263964
expression__expr::CDKN2A (1029),0.010239581
expression__expr::GPRC5A (9052),0.010144985
expression__expr::AREG (374),0.009916253
copy_number__cn::CHEK2 (11200),0.009914312
copy_number__cn::CYRIA (81553),0.009643077
copy_number__cn::LCE1D (353134),0.009560322
expression__expr::CTHRC1 (115908),0.009283722
expression__expr::CDH2 (1000),0.008938331
expression__expr::BRCA1 (672),0.0087480815
expression__expr::KRT19 (3880),0.008286333
expression__expr::KRT18 (3875),0.008269566
expression__expr::MYL9 (10398),0.007354692
mutations__mut::damaging::PKHD1L1 (93035),0.0
mutations__mut::damaging::SYNE2 (23224),0.0
mutations__mut::damaging::SUPT20HL2 (170067),0.0
mutations__mut::damaging::CFAP65 (255101),0.0
mutations__mut::damaging::CUBN (8029),0.0
mutations__mut::damaging::EZHIP (340602),0.0
mutations__mut::damaging::FAM133A (286499),0.0
mutations__mut::damaging::TNRC18 (84629),0.0
mutations__mut::damaging::SLIT2 (9353),0.0
mutations__mut::damaging::DNAH5 (1767),0.0
mutations__mut::hotspot::ATM (472),0.0
mutations__mut::damaging::ATR (545),0.0
mutations__mut::damaging::CHEK2 (11200),0.0
mutations__mut::damaging::RAD51C (5889),0.0
mutations__mut::damaging::RAD51D (5892),0.0
mutations__mut::damaging::PALB2 (79728),0.0
mutations__mut::damaging::CHEK1 (1111),0.0
mutations__mut::damaging::ATM (472),0.0
mutations__mut::damaging::FAM193A (8603),0.0
mutations__mut::damaging::DOP1B (9980),0.0
mutations__mut::damaging::SALL4 (57167),0.0
mutations__mut::damaging::SCN7A (6332),0.0
mutations__mut::damaging::ALMS1 (7840),0.0
mutations__mut::damaging::DNAH9 (1770),0.0
mutations__mut::damaging::XIRP2 (129446),0.0
mutations__mut::damaging::SNHG14 (104472715),0.0
mutations__mut::damaging::FANCM (57697),0.0
mutations__mut::damaging::LRRIQ1 (84125),0.0
mutations__mut::damaging::DCDC1 (341019),0.0
mutations__mut::hotspot::SMAD4 (4089),0.0
mutations__mut::damaging::NPM1P49 (100422284),0.0
mutations__mut::damaging::CFAP47 (286464),0.0
mutations__mut::damaging::RP1 (6101),0.0
mutations__mut::damaging::IGSF10 (285313),0.0
mutations__mut::damaging::JMJD1C (221037),0.0
mutations__mut::damaging::CNTRL (11064),0.0
mutations__mut::damaging::WNK2 (65268),0.0
mutations__mut::damaging::BRSK1 (84446),0.0
mutations__mut::damaging::LMTK3 (114783),0.0
mutations__mut::damaging::BRCA2 (675),0.0
mutations__mut::damaging::ZFHX3 (463),0.0
mutations__mut::damaging::CCDST (112268240),0.0
mutations__mut::damaging::PDS5B (23047),0.0
mutations__mut::damaging::CREBBP (1387),0.0
mutations__mut::damaging::FSIP2 (401024),0.0
mutations__mut::damaging::KEAP1 (9817),0.0
mutations__mut::damaging::SPANXN4 (441525),0.0
mutations__mut::damaging::TRMT9B (57604),0.0
mutations__mut::hotspot::ARID1A (8289),0.0
mutations__mut::damaging::KMT2B (9757),0.0
mutations__mut::damaging::RYR2 (6262),0.0
mutations__mut::damaging::INPPL1 (3636),0.0
mutations__mut::damaging::NOTCH1 (4851),0.0
mutations__mut::damaging::BCOR (54880),0.0
mutations__mut::damaging::SETD2 (29072),0.0
mutations__mut::damaging::FBXW7 (55294),0.0
mutations__mut::damaging::KMT2C (58508),0.0
mutations__mut::hotspot::APC (324),0.0
mutations__mut::damaging::APC (324),0.0
mutations__mut::damaging::KMT2D (8085),0.0
mutations__mut::damaging::NF2 (4771),0.0
mutations__mut::damaging::NF1 (4763),0.0
mutations__mut::damaging::TGFBR2 (7048),0.0
mutations__mut::damaging::EP300 (2033),0.0
mutations__mut::damaging::SPAG8 (26206),0.0
mutations__mut::hotspot::PIK3CA (5290),0.0
mutations__mut::damaging::SYNE1 (23345),0.0
mutations__mut::hotspot::PTEN (5728),0.0
mutations__mut::damaging::VHL (7428),0.0
