drug,fold,role,model_id
gemcitabine,1,fit,ACH-000997
gemcitabine,1,fit,ACH-000869
gemcitabine,1,fit,ACH-000769
gemcitabine,1,fit,ACH-000941
gemcitabine,1,fit,ACH-000153
gemcitabine,1,fit,ACH-000572
gemcitabine,1,fit,ACH-000123
gemcitabine,1,fit,ACH-000048
gemcitabine,1,fit,ACH-000042
gemcitabine,1,fit,ACH-000637
gemcitabine,1,fit,ACH-001190
gemcitabine,1,fit,ACH-000841
gemcitabine,1,fit,ACH-000521
gemcitabine,1,fit,ACH-000544
gemcitabine,1,fit,ACH-000756
gemcitabine,1,fit,ACH-000627
gemcitabine,1,fit,ACH-000524
gemcitabine,1,fit,ACH-000281
gemcitabine,1,fit,ACH-000097
gemcitabine,1,fit,ACH-000403
gemcitabine,1,fit,ACH-000264
gemcitabine,1,fit,ACH-000552
gemcitabine,1,fit,ACH-000768
gemcitabine,1,fit,ACH-000882
gemcitabine,1,fit,ACH-000966
gemcitabine,1,fit,ACH-000429
gemcitabine,1,fit,ACH-000279
gemcitabine,1,fit,ACH-000833
gemcitabine,1,fit,ACH-000164
gemcitabine,1,fit,ACH-000826
gemcitabine,1,fit,ACH-001239
gemcitabine,1,fit,ACH-000192
gemcitabine,1,fit,ACH-000393
gemcitabine,1,fit,ACH-000542
gemcitabine,1,fit,ACH-000843
gemcitabine,1,fit,ACH-000471
gemcitabine,1,fit,ACH-000420
gemcitabine,1,fit,ACH-000486
gemcitabine,1,fit,ACH-000250
gemcitabine,1,fit,ACH-000898
gemcitabine,1,fit,ACH-000971
gemcitabine,1,fit,ACH-000416
gemcitabine,1,fit,ACH-000189
gemcitabine,1,fit,ACH-000174
gemcitabine,1,fit,ACH-000943
gemcitabine,1,fit,ACH-000800
gemcitabine,1,fit,ACH-000452
gemcitabine,1,fit,ACH-000493
gemcitabine,1,fit,ACH-000978
gemcitabine,1,fit,ACH-000614
gemcitabine,1,fit,ACH-000132
gemcitabine,1,fit,ACH-000260
gemcitabine,1,fit,ACH-000954
gemcitabine,1,fit,ACH-000237
gemcitabine,1,fit,ACH-000694
gemcitabine,1,fit,ACH-000535
gemcitabine,1,fit,ACH-000188
gemcitabine,1,fit,ACH-000781
gemcitabine,1,fit,ACH-000955
gemcitabine,1,fit,ACH-000504
gemcitabine,1,fit,ACH-000758
gemcitabine,1,fit,ACH-000312
gemcitabine,1,fit,ACH-000137
gemcitabine,1,fit,ACH-000764
gemcitabine,1,fit,ACH-000819
gemcitabine,1,fit,ACH-000681
gemcitabine,1,fit,ACH-000133
gemcitabine,1,fit,ACH-000961
gemcitabine,1,fit,ACH-000211
gemcitabine,1,fit,ACH-000207
gemcitabine,1,fit,ACH-000318
gemcitabine,1,fit,ACH-000878
gemcitabine,1,fit,ACH-000701
gemcitabine,1,fit,ACH-000223
gemcitabine,1,fit,ACH-000977
gemcitabine,1,fit,ACH-000936
